epoch,accuracy,loss,val_accuracy,val_loss
0,0.8698453903198242,0.4067268669605255,0.9838888645172119,0.06224207207560539
1,0.9672852158546448,0.11315352469682693,0.9916666746139526,0.046021390706300735
2,0.9773367643356323,0.07971827685832977,0.9905555844306946,0.03817979618906975
3,0.9822337031364441,0.062262289226055145,0.9911110997200012,0.0398259274661541
4,0.9850859045982361,0.050342291593551636,0.9950000047683716,0.03268500044941902
5,0.9872336983680725,0.04325096681714058,0.9911110997200012,0.04243673011660576
6,0.9886597990989685,0.03774655610322952,0.9933333396911621,0.027428245171904564
7,0.990257740020752,0.03249254822731018,0.9950000047683716,0.0254370030015707
8,0.9917869567871094,0.02714061550796032,0.9950000047683716,0.030092131346464157
9,0.9920962452888489,0.025696422904729843,0.9927777647972107,0.0315101183950901
10,0.9936082363128662,0.0197416003793478,0.9883333444595337,0.04499388486146927
11,0.9941236972808838,0.01933077909052372,0.9938889145851135,0.032183025032281876
12,0.9952749013900757,0.0162515826523304,0.9916666746139526,0.034468911588191986
13,0.9948109984397888,0.01761295460164547,0.992222249507904,0.047010909765958786
14,0.9953780174255371,0.015420717187225819,0.9938889145851135,0.029516946524381638
15,0.9959965348243713,0.01363154873251915,0.9950000047683716,0.029333719983696938
16,0.9959965348243713,0.013188841752707958,0.9933333396911621,0.036774542182683945
17,0.9962886571884155,0.012552082538604736,0.9944444298744202,0.03491080924868584
18,0.9956357479095459,0.013555826619267464,0.995555579662323,0.02902667596936226
19,0.9968212842941284,0.009749987162649632,0.995555579662323,0.03144916146993637
20,0.9965807795524597,0.01064962986856699,0.992222249507904,0.04656105116009712
21,0.9969587922096252,0.009748036041855812,0.995555579662323,0.02665550820529461
22,0.9974398612976074,0.009228554554283619,0.9933333396911621,0.050029974430799484
23,0.9968556761741638,0.010772244073450565,0.9927777647972107,0.04299936071038246
24,0.9969587922096252,0.010366110131144524,0.9944444298744202,0.029606154188513756
25,0.998092770576477,0.006568095181137323,0.9933333396911621,0.04698501154780388
26,0.9974914193153381,0.00883481651544571,0.992222249507904,0.03823264688253403
27,0.9978007078170776,0.007666387595236301,0.9911110997200012,0.042235616594552994
28,0.998024046421051,0.007117887027561665,0.992222249507904,0.052187252789735794
29,0.9970962405204773,0.009335456416010857,0.9950000047683716,0.04055628925561905
30,0.997886598110199,0.007171196397393942,0.9938889145851135,0.04153701290488243
31,0.9984707832336426,0.005131333135068417,0.9938889145851135,0.041991543024778366
32,0.9976117014884949,0.00912507250905037,0.9905555844306946,0.05861153453588486
33,0.9981614947319031,0.006832793354988098,0.9961110949516296,0.04594957455992699
34,0.9983333349227905,0.006060061976313591,0.992222249507904,0.042450807988643646
35,0.9986941814422607,0.004884982947260141,0.9938889145851135,0.0382101833820343
36,0.9982302188873291,0.006852888502180576,0.995555579662323,0.03219575062394142
37,0.998092770576477,0.0067843785509467125,0.9950000047683716,0.04894053563475609
38,0.9988487958908081,0.004114221315830946,0.9944444298744202,0.043295297771692276
39,0.9976975917816162,0.0076686241663992405,0.995555579662323,0.037506915628910065
